Estado;Municipio;Parroquia
Mérida;Cardenal Quintero;Santo Domingo
Mérida;Cardenal Quintero;Las Piedras
Mérida;Guaraque;Guaraque
Mérida;Guaraque;Mesa de Quintero
Mérida;Guaraque;Río Negro
Mérida;Julio César Salas;Arapuey
Mérida;Julio César Salas;Palmira
Mérida;Justo Briceño;San Cristóbal de Torondoy
Mérida;Justo Briceño;Torondoy
Mérida;Libertador;Antonio Spinetti Dini
Mérida;Libertador;Arias
Mérida;Libertador;Caracciolo Parra Pérez
Mérida;Libertador;Domingo Peña
Mérida;Libertador;El Llano
Mérida;Libertador;Gonzalo Picón Febres
Mérida;Libertador;Jacinto Plaza
Mérida;Libertador;Juan Rodríguez Suárez
Mérida;Libertador;Lasso de la Vega
Mérida;Libertador;Mariano Picón Salas
Mérida;Libertador;Milla
Mérida;Libertador;Osuna Rodríguez
Mérida;Libertador;Sagrario
Mérida;Libertador;El Morro
Mérida;Libertador;Los Nevados
Mérida;Miranda;Andrés Eloy Blanco
Mérida;Miranda;La Venta
Mérida;Miranda;Piñango
Mérida;Miranda;Timotes
Mérida;Obispo Ramos de Lora;Eloy Paredes
Mérida;Obispo Ramos de Lora;San Rafael de Alcázar
Mérida;Obispo Ramos de Lora;Santa Elena de Arenales
Mérida;Padre Noguera;Santa María de Caparo
Mérida;Pueblo Llano;Pueblo Llano
Mérida;Rangel;Cacute
Mérida;Rangel;La Toma
Mérida;Rangel;Mucuchíes
Mérida;Rangel;Mucurubá
Mérida;Rangel;San Rafael
Mérida;Rivas Dávila;Gerónimo Maldonado
Mérida;Rivas Dávila;Bailadores
Mérida;Santos Marquina;Tabay
Mérida;Sucre;Chiguará
Mérida;Sucre;Estánques
Mérida;Sucre;Lagunillas
Mérida;Sucre;La Trampa
Mérida;Sucre;Pueblo Nuevo del Sur
Mérida;Sucre;San Juan
Mérida;Tovar;El Amparo
Mérida;Tovar;El Llano
Mérida;Tovar;San Francisco
Mérida;Tovar;Tovar
Mérida;Tulio Febres Cordero;Independencia
Mérida;Tulio Febres Cordero;María de la Concepción Palacios Blanco
Mérida;Tulio Febres Cordero;Nueva Bolivia
Mérida;Tulio Febres Cordero;Santa Apolonia
Mérida;Zea;Caño El Tigre
Mérida;Zea;Zea
Miranda;Acevedo;Aragüita
Miranda;Acevedo;Arévalo González,
Miranda;Acevedo;Capaya
Miranda;Acevedo;Caucagua
Miranda;Acevedo;Panaquire
Miranda;Acevedo;Ribas
Miranda;Acevedo;El Café
Miranda;Acevedo;Marizapa
Miranda;Andrés Bello;Cumbo
Miranda;Andrés Bello;San José de Barlovento
Miranda;Baruta;El Cafetal
Miranda;Baruta;Las Minas
Miranda;Brión;Higuerote
Miranda;Brión;Curiepe
Miranda;Brión;Tacarigua de Brión
Miranda;Buroz;Mamporal
Miranda;Carrizal;Carrizal
Miranda;Chacao;Chacao
Miranda;Cristóbal Rojas;Charallave
Miranda;Cristóbal Rojas;Las Brisas
Miranda;El Hatillo;Santa Rosalía de Palermo de El Hatillo
Miranda;Guaicaipuro;Altagracia de la Montaña
Miranda;Guaicaipuro;Cecilio Acosta
Miranda;Guaicaipuro;Los Teques
Miranda;Guaicaipuro;El Jarillo.
Miranda;Guaicaipuro;San Pedro.
Miranda;Guaicaipuro;Tácata.
Miranda;Guaicaipuro;Paracotos.
Miranda;Independencia;Cartanal
Miranda;Independencia;Santa Teresa del Tuy
Miranda;Lander;La Democracia
Miranda;Lander;Ocumare del Tuy
Miranda;Lander;Santa Bárbara
Miranda;Los Salias;San Antonio de los Altos
Miranda;Páez;Río Chico
Miranda;Páez;El Guapo
Miranda;Páez;Tacarigua de la Laguna
Miranda;Páez;Paparo
Miranda;Páez;San Fernando del Guapo
Miranda;Paz Castillo;Santa Lucía del Tuy
Miranda;Pedro Gual;Cúpira
Miranda;Pedro Gual;Machurucuto
Miranda;Plaza;Guarenas
Miranda;Simón Bolívar;San Antonio de Yare
Miranda;Simón Bolívar;San Francisco de Yare
Miranda;Sucre;Leoncio Martínez
Miranda;Sucre;Caucagüita
Miranda;Sucre;Filas de Mariche
Miranda;Sucre;La Dolorita
Miranda;Sucre;Petare
Miranda;Urdaneta;Cúa
Miranda;Urdaneta;Nueva Cúa
Miranda;Zamora;Guatire
Miranda;Zamora;Bolívar
Monagas;Acosta;San Antonio de Maturín
Monagas;Acosta;San Francisco de Maturín
Monagas;Aguasay;Aguasay
Monagas;Bolívar;Caripito
Monagas;Caripe;El Guácharo
Monagas;Caripe;La Guanota
Monagas;Caripe;Sabana de Piedra
Monagas;Caripe;San Agustín
Monagas;Caripe;Teresen
Monagas;Caripe;Caripe
Monagas;Cedeño;Areo
Monagas;Cedeño;Capital Cedeño
Monagas;Cedeño;San Félix de Cantalicio
Monagas;Cedeño;Viento Fresco
Monagas;Ezequiel Zamora;El Tejero
Monagas;Ezequiel Zamora;Punta de Mata
Monagas;Libertador;Chaguaramas
Monagas;Libertador;Las Alhuacas
Monagas;Libertador;Tabasca
Monagas;Libertador;Temblador
Monagas;Maturín;Alto de los Godos
Monagas;Maturín;Boquerón
Monagas;Maturín;Las Cocuizas
Monagas;Maturín;La Cruz
Monagas;Maturín;San Simón
Monagas;Maturín;El Corozo
Monagas;Maturín;El Furrial
Monagas;Maturín;Jusepín
Monagas;Maturín;La Pica
Monagas;Maturín;San Vicente
Monagas;Piar;Aparicio
Monagas;Piar;Aragua de Maturín
Monagas;Piar;Chaguaramal
Monagas;Piar;El Pinto
Monagas;Piar;Guanaguana
Monagas;Piar;La Toscana
Monagas;Piar;Taguaya
Monagas;Punceres;Cachipo
Monagas;Punceres;Quiriquire
Monagas;Santa Bárbara;Santa Bárbara
Monagas;Santa Bárbara;Morón
Monagas;Sotillo;Barrancas
Monagas;Sotillo;Los Barrancos de Fajardo
Monagas;Uracoa;Uracoa
Nueva Esparta;Antolín del Campo;Antolín del Campo
Nueva Esparta;Arismendi;Arismendi
Nueva Esparta;Díaz;San Juan Bautista
Nueva Esparta;Díaz;Zabala
Nueva Esparta;García;García
Nueva Esparta;García;Francisco Fajardo
Nueva Esparta;Gómez;Bolívar
Nueva Esparta;Gómez;Guevara
Nueva Esparta;Gómez;Cerro de Matasiete
Nueva Esparta;Gómez;Santa Ana
Nueva Esparta;Gómez;Sucre
Nueva Esparta;Macanao;San Francisco de Macanao
Nueva Esparta;Macanao;Boca de Río
Nueva Esparta;Maneiro;Aguirre
Nueva Esparta;Maneiro;Maneiro
Nueva Esparta;Marcano;Adrián
Nueva Esparta;Marcano;Juan Griego
Nueva Esparta;Mariño;Mariño
Nueva Esparta;Tubores;Tubores
Nueva Esparta;Tubores;Los Barales
Nueva Esparta;Villalba;Vicente Fuentes
Nueva Esparta;Villalba;Villalba
Portuguesa;Agua Blanca;Agua Blanca
Portuguesa;Araure;Araure
Portuguesa;Araure;Río Acarigua
Portuguesa;Esteller;Píritu
Portuguesa;Esteller;Uveral
Portuguesa;Guanare;Cordova
Portuguesa;Guanare;Guanare
Portuguesa;Guanare;San José de la Montaña
Portuguesa;Guanare;San Juan de Guanaguanare
Portuguesa;Guanare;Virgen de Coromoto
Portuguesa;Guanarito;Guanarito
Portuguesa;Guanarito;Trinidad de la Capilla
Portuguesa;Guanarito;Divina Pastora
Portuguesa;Monseñor José Vicente de Unda;Chabasquén
Portuguesa;Monseñor José Vicente de Unda;Peña Blanca
Portuguesa;Ospino;Aparición
Portuguesa;Ospino;La Estación
Portuguesa;Ospino;Ospino
Portuguesa;Páez;Acarigua
Portuguesa;Páez;Payara
Portuguesa;Páez;Pimpinela
Portuguesa;Páez;Ramón Peraza
Portuguesa;Papelón;Caño Delgadito
Portuguesa;Papelón;Papelón
Portuguesa;San Genaro de Boconoíto;Antolín Tovar Anquino
Portuguesa;San Genaro de Boconoíto;Boconoíto
Portuguesa;San Rafael de Onoto;Santa Fé
Portuguesa;San Rafael de Onoto;San Rafael de Onoto
Portuguesa;San Rafael de Onoto;Thelmo Morles
Portuguesa;Santa Rosalía;Florida
Portuguesa;Santa Rosalía;El Playón
Portuguesa;Sucre;Biscucuy
Portuguesa;Sucre;Concepción
Portuguesa;Sucre;San José de Saguaz
Portuguesa;Sucre;San Rafael de Palo Alzado
Portuguesa;Sucre;Uvencio Antonio Velásquez
Portuguesa;Turén;Villa Bruzual
Portuguesa;Turén;Canelones
Portuguesa;Turén;Santa Cruz
Portuguesa;Turén;San Isidro Labrador
Sucre;Andrés Eloy Blanco;Mariño
Sucre;Andrés Eloy Blanco;Rómulo Gallegos
Sucre;Andrés Mata;San José de Areocuar
Sucre;Andrés Mata;Tavera Acosta
Sucre;Arismendi;Río Caribe
Sucre;Arismendi;Antonio José de Sucre
Sucre;Arismendi;El Morro de Puerto Santo
Sucre;Arismendi;Puerto Santo
Sucre;Arismendi;San Juan de las Galdonas
Sucre;Benítez;El Pilar
Sucre;Benítez;El Rincón
Sucre;Benítez;General Francisco Antonio Vázquez
Sucre;Benítez;Guaraúnos
Sucre;Benítez;Tunapuicito
Sucre;Benítez;Unión
Sucre;Bermúdez;Santa Catalina
Sucre;Bermúdez;Santa Rosa
Sucre;Bermúdez;Santa Teresa
Sucre;Bermúdez;Bolívar
Sucre;Bermúdez;Maracapana
Sucre;Bolívar;Marigüitar
Sucre;Cajigal;Libertad
Sucre;Cajigal;El Paujil
Sucre;Cajigal;Yaguaraparo
Sucre;Cruz Salmerón Acosta;Araya
Sucre;Cruz Salmerón Acosta;Chacopata
Sucre;Cruz Salmerón Acosta;Manicuare
Sucre;Libertador;Tunapuy
Sucre;Libertador;Campo Elías
Sucre;Mariño;Irapa
Sucre;Mariño;Campo Claro
Sucre;Mariño;Marabal
Sucre;Mariño;San Antonio de Irapa
Sucre;Mariño;Soro
Sucre;Mejía;San Antonio del Golfo
Sucre;Montes;Cumanacoa
Sucre;Montes;Arenas
Sucre;Montes;Aricagua
Sucre;Montes;Cocollar
Sucre;Montes;San Fernando
Sucre;Montes;San Lorenzo
Sucre;Ribero;Cariaco
Sucre;Ribero;Catuaro
Sucre;Ribero;Rendón
Sucre;Ribero;Santa Cruz
Sucre;Ribero;Santa María
Sucre;Sucre;Altagracia Cumaná
Sucre;Sucre;Santa Inés Cumaná
Sucre;Sucre;Valentín Valiente Cumaná
Sucre;Sucre;Ayacucho Cumaná
Sucre;Sucre;San Juan
Sucre;Sucre;Raúl Leoni
Sucre;Sucre;Gran Mariscal
Sucre;Valdez;Cristóbal Colón
Sucre;Valdez;Bideau
Sucre;Valdez;Punta de Piedras
Sucre;Valdez;Güiria
Táchira;Andrés Bello;Cordero
Táchira;Antonio Rómulo Costa;Las Mesas
Táchira;Ayacucho;Rivas Berti
Táchira;Ayacucho;San Juan de Colón
Táchira;Ayacucho;San Pedro del Río
Táchira;Bolívar;Isaías Medina Angarita
Táchira;Bolívar;Juan Vicente Gómez
Táchira;Bolívar;Palotal
Táchira;Bolívar;San Antonio del Táchira
Táchira;Cárdenas;Amenodoro Rangel Lamús
Táchira;Cárdenas;La Florida
Táchira;Cárdenas;Táriba
Táchira;Córdoba;Santa Ana del Táchira
Táchira;Fernández Feo;Alberto Adriani
Táchira;Fernández Feo;San Rafael del Piñal
Táchira;Fernández Feo;Santo Domingo
Táchira;Francisco de Miranda;San José de Bolívar
Táchira;García de Hevia;Boca de Grita
Táchira;García de Hevia;José Antonio Páez
Táchira;García de Hevia;La Fría
Táchira;Guásimos;Palmira
Táchira;Independencia;Capacho Nuevo
Táchira;Independencia;Juan Germán Roscio
Táchira;Independencia;Román Cárdenas
Táchira;Jáuregui;Emilio Constantino Guerrero
Táchira;Jáuregui;La Grita
Táchira;Jáuregui;Monseñor Miguel Antonio Salas
Táchira;José María Vargas;El Cobre
Táchira;Junín;Bramón
Táchira;Junín;La Petrólea
Táchira;Junín;Quinimarí
Táchira;Junín;Rubio
Táchira;Libertad;Capacho Viejo
Táchira;Libertad;Cipriano Castro
Táchira;Libertad;Manuel Felipe Rugeles
Táchira;Libertador;Abejales
Táchira;Libertador;Doradas
Táchira;Libertador;Emeterio Ochoa
Táchira;Libertador;San Joaquín de Navay
Táchira;Lobatera;Lobatera
Táchira;Lobatera;Constitución
Táchira;Michelena;Michelena
Táchira;Panamericano;Coloncito
Táchira;Panamericano;La Palmita
Táchira;Pedro María Ureña;Ureña
Táchira;Pedro María Ureña;Nueva Arcadia
Táchira;Rafael Urdaneta;Delicias
Táchira;Samuel Dario Maldonado;Boconó
Táchira;Samuel Dario Maldonado;Hernández
Táchira;Samuel Dario Maldonado;La Tendida
Táchira;San Cristóbal;Francisco Romero Lobo
Táchira;San Cristóbal;La Concordia
Táchira;San Cristóbal;Pedro María Morantes
Táchira;San Cristóbal;San Juan Bautista
Táchira;San Cristóbal;San Sebastián
Táchira;San Judas Tadeo;Umuquena
Táchira;Seboruco;Seboruco
Táchira;Simón Rodríguez;San Simón
Táchira;Sucre;Eleazar López Contreras
Táchira;Sucre;Capital Sucre
Táchira;Sucre;San Pablo
Táchira;Torbes;San Josecito
Táchira;Uribante;Cárdenas
Táchira;Uribante;Juan Pablo Peñaloza
Táchira;Uribante;Potosí
Táchira;Uribante;Pregonero
Trujillo;Andrés Bello;Araguaney
Trujillo;Andrés Bello;El Jaguito
Trujillo;Andrés Bello;La Esperanza
Trujillo;Andrés Bello;Santa Isabel
Trujillo;Boconó;Boconó
Trujillo;Boconó;El Carmen
Trujillo;Boconó;Mosquey
Trujillo;Boconó;Ayacucho
Trujillo;Boconó;Burbusay
Trujillo;Boconó;General Ribas
Trujillo;Boconó;Guaramacal
Trujillo;Boconó;Vega De Guaramacal
Trujillo;Boconó;Monseñor Jáuregui
Trujillo;Boconó;Rafael Rangel
Trujillo;Boconó;San Miguel
Trujillo;Boconó;San José
Trujillo;Bolívar;Sabana Grande
Trujillo;Bolívar;Cheregüé
Trujillo;Bolívar;Granados
Trujillo;Candelaria;Arnoldo Gabaldón
Trujillo;Candelaria;Bolivia
Trujillo;Candelaria;Carrillo
Trujillo;Candelaria;Cegarra
Trujillo;Candelaria;Chejendé
Trujillo;Candelaria;Manuel Salvador Ulloa
Trujillo;Candelaria;San José
Trujillo;Carache;Carache
Trujillo;Carache;La Concepción
Trujillo;Carache;Cuicas
Trujillo;Carache;Panamericana
Trujillo;Carache;Santa Cruz
Trujillo;Escuque;Escuque
Trujillo;Escuque;La Unión
Trujillo;Escuque;Santa Rita
Trujillo;Escuque;Sabana Libre
Trujillo;José Felipe Márquez Cañizales;El Socorro
Trujillo;José Felipe Márquez Cañizales;Los Caprichos
Trujillo;José Felipe Márquez Cañizales;Antonio José De Sucre
Trujillo;Juan Vicente Campos Elías;Campo Elías
Trujillo;Juan Vicente Campos Elías;Arnoldo Gabaldón
Trujillo;La Ceiba;Santa Apolonia
Trujillo;La Ceiba;El Progreso
Trujillo;La Ceiba;La Ceiba
Trujillo;La Ceiba;Tres De Febrero
Trujillo;Miranda;El Dividive
Trujillo;Miranda;Agua Santa
Trujillo;Miranda;Agua Caliente
Trujillo;Miranda;El Cenizo
Trujillo;Miranda;Valerita
Trujillo;Monte Carmelo;Monte Carmelo
Trujillo;Monte Carmelo;Buena Vista
Trujillo;Monte Carmelo;Santa María Del Horcón
Trujillo;Motatán;Motatán
Trujillo;Motatán;El Baño
Trujillo;Motatán;Jalisco
Trujillo;Pampán;Pampán
Trujillo;Pampán;Flor De Patria
Trujillo;Pampán;La Paz
Trujillo;Pampán;Santa Ana
Trujillo;Pampanito;Pampanito
Trujillo;Pampanito;La Concepción
Trujillo;Pampanito;Pampanito II
Trujillo;Rafael Rangel;Betijoque
Trujillo;Rafael Rangel;José Gregorio Hernández
Trujillo;Rafael Rangel;La Pueblita
Trujillo;Rafael Rangel;Los Cedros
Trujillo;San Rafael De Carvajal;Carvajal
Trujillo;San Rafael De Carvajal;Campo Alegre
Trujillo;San Rafael De Carvajal;Antonio Nicolás Briceño
Trujillo;San Rafael De Carvajal;José Leonardo Suárez
Trujillo;Sucre;Sabana De Mendoza
Trujillo;Sucre;Junín
Trujillo;Sucre;Valmore Rodríguez
Trujillo;Sucre;El Paraíso
Trujillo;Trujillo;Andrés Linares
Trujillo;Trujillo;Chiquinquirá
Trujillo;Trujillo;Cristóbal Mendoza
Trujillo;Trujillo;Cruz Carrillo
Trujillo;Trujillo;Matriz
Trujillo;Trujillo;Monseñor Carrillo
Trujillo;Trujillo;Tres Esquinas
Trujillo;Urdaneta;Cabimbú
Trujillo;Urdaneta;Jajó
Trujillo;Urdaneta;La Mesa De Esnujaque
Trujillo;Urdaneta;Santiago
Trujillo;Urdaneta;Tuñame
Trujillo;Urdaneta;La Quebrada
Trujillo;Valera;Juan Ignacio Montilla
Trujillo;Valera;La Beatriz
Trujillo;Valera;La Puerta
Trujillo;Valera;Mendoza Del Valle De Momboy
Trujillo;Valera;Mercedes Díaz
Trujillo;Valera;San Luis
Vargas;Vargas;Caraballeda
Vargas;Vargas;Carayaca
Vargas;Vargas;Carlos Soublette
Vargas;Vargas;Caruao
Vargas;Vargas;Catia La Mar
Vargas;Vargas;El Junko
Vargas;Vargas;La Guaira
Vargas;Vargas;Macuto
Vargas;Vargas;Maiquetía
Vargas;Vargas;Naiguatá
Vargas;Vargas;Urimare
Yaracuy;Arístides Bastidas;Arístides Bastidas
Yaracuy;Bolívar;Bolívar
Yaracuy;Bruzual;Chivacoa
Yaracuy;Bruzual;Campo Elías
Yaracuy;Cocorote;Cocorote
Yaracuy;Independencia;Independencia
Yaracuy;José Antonio Páez;José Antonio Páez
Yaracuy;José Joaquín Veroes;El Guayabo
Yaracuy;José Joaquín Veroes;Farriar
Yaracuy;La Trinidad;La Trinidad
Yaracuy;Manuel Monge;Manuel Monge
Yaracuy;Nirgua;Salóm
Yaracuy;Nirgua;Temerla
Yaracuy;Nirgua;Nirgua
Yaracuy;Peña;San Andrés
Yaracuy;Peña;Yaritagua
Yaracuy;San Felipe;San Javier
Yaracuy;San Felipe;Albarico
Yaracuy;San Felipe;San Felipe
Yaracuy;Sucre;Sucre
Yaracuy;Urachiche;Urachiche
Zulia;Almirante Padilla;Isla De Toas
Zulia;Almirante Padilla;Monagas
Zulia;Almirante Padilla;San Fernando
Zulia;Baralt;San Timoteo
Zulia;Baralt;General Urdaneta
Zulia;Baralt;Libertador
Zulia;Baralt;Marcelino Briceño
Zulia;Baralt;Nuevo
Zulia;Baralt;Manuel Guanipa Matos
Zulia;Cabimas;Ambrosio
Zulia;Cabimas;Carmen Herrera
Zulia;Cabimas;La Rosa
Zulia;Cabimas;Germán Ríos Linares
Zulia;Cabimas;San Benito
Zulia;Cabimas;Rómulo Betancourt
Zulia;Cabimas;Jorge Hernández
Zulia;Cabimas;Punta Gorda
Zulia;Cabimas;Arístides Calvani
Zulia;Catatumbo;Encontrados
Zulia;Catatumbo;Udón Pérez
Zulia;Colón;Moralito
Zulia;Colón;Capital San Carlos Del Zulia
Zulia;Colón;Santa Cruz Del Zulia
Zulia;Colón;Santa Bárbara
Zulia;Colón;Urribarrí
Zulia;Francisco Javier Pulgar;Carlos Quevedo
Zulia;Francisco Javier Pulgar;Francisco Javier Pulgar
Zulia;Francisco Javier Pulgar;Simón Rodríguez
Zulia;Francisco Javier Pulgar;Guamo-Gavilanes
Zulia;Jesús Enrique Lossada;La Concepción
Zulia;Jesús Enrique Lossada;San José
Zulia;Jesús Enrique Lossada;Mariano Parra León
Zulia;Jesús Enrique Lossada;José Ramón Yépez
Zulia;Jesús María Semprún;Jesús María Semprún
Zulia;Jesús María Semprún;Barí
Zulia;La Cañada De Urdaneta;Concepción
Zulia;La Cañada De Urdaneta;Andrés Bello
Zulia;La Cañada De Urdaneta;Chiquinquirá
Zulia;La Cañada De Urdaneta;El Carmelo
Zulia;La Cañada De Urdaneta;Potreritos
Zulia;Lagunillas;Libertad
Zulia;Lagunillas;Alonso De Ojeda
Zulia;Lagunillas;Venezuela
Zulia;Lagunillas;Eleazar López Contreras
Zulia;Lagunillas;Campo Lara
Zulia;Machiques De Perijá;Bartolomé De Las Casas
Zulia;Machiques De Perijá;Libertad
Zulia;Machiques De Perijá;Río Negro
Zulia;Machiques De Perijá;San José De Perijá
Zulia;Mara;San Rafael
Zulia;Mara;La Sierrita
Zulia;Mara;Las Parcelas
Zulia;Mara;Luis De Vicente
Zulia;Mara;Monseñor Marcos Sergio Godoy
Zulia;Mara;Ricaurte
Zulia;Mara;Tamare
Zulia;Maracaibo;Antonio Borjas Romero
Zulia;Maracaibo;Bolívar
Zulia;Maracaibo;Cacique Mara
Zulia;Maracaibo;Carracciolo Parra Pérez
Zulia;Maracaibo;Cecilio Acosta
Zulia;Maracaibo;Cristo De Aranza
Zulia;Maracaibo;Coquivacoa
Zulia;Maracaibo;Chiquinquirá
Zulia;Maracaibo;Francisco Eugenio Bustamante
Zulia;Maracaibo;Idelfonzo Vásquez
Zulia;Maracaibo;Juana De Ávila
Zulia;Maracaibo;Luis Hurtado Higuera
Zulia;Maracaibo;Manuel Dagnino
Zulia;Maracaibo;Olegario Villalobos
Zulia;Maracaibo;Raúl Leoni
Zulia;Maracaibo;Santa Lucía
Zulia;Maracaibo;San Isidro
Zulia;Maracaibo;Venancio Pulgar
Zulia;Miranda;Altagracia
Zulia;Miranda;Faría
Zulia;Miranda;Ana María Campos
Zulia;Miranda;San Antonio
Zulia;Miranda;San José
Zulia;Guajira;Sinamaica
Zulia;Guajira;Alta Guajira
Zulia;Guajira;Elías Sánchez Rubio
Zulia;Guajira;Guajira
Zulia;Rosario De Perijá;Donaldo García
Zulia;Rosario De Perijá;El Rosario
Zulia;Rosario De Perijá;Sixto Zambrano
Zulia;San Francisco;San Francisco
Zulia;San Francisco;El Bajo
Zulia;San Francisco;Domitila Flores
Zulia;San Francisco;Francisco Ochoa
Zulia;San Francisco;Los Cortijos
Zulia;San Francisco;Marcial Hernández
Zulia;San Francisco;José Domingo Rus
Zulia;Santa Rita;Santa Rita
Zulia;Santa Rita;El Mene
Zulia;Santa Rita;Pedro Lucas Urribarrí
Zulia;Santa Rita;José Cenobio Urribarrí
Zulia;Simón Bolívar;Rafael Maria Baralt
Zulia;Simón Bolívar;Manuel Manrique
Zulia;Simón Bolívar;Rafael Urdaneta
Zulia;Sucre;Bobures
Zulia;Sucre;Gibraltar
Zulia;Sucre;Heras
Zulia;Sucre;Monseñor Arturo Álvarez
Zulia;Sucre;Rómulo Gallegos
Zulia;Sucre;El Batey
Zulia;Valmore Rodríguez;Rafael Urdaneta
Zulia;Valmore Rodríguez;La Victoria
Zulia;Valmore Rodríguez;Raúl Cuenca
